"Name","Address","City","State","Phone","Type"
"ToolBox Brewery","1495 Poinsettia Ave, Suite 148","Vista","CA","(760) 598-1477","Brewery"
"Topa Topa Brewing Co","104 E Thompson Blvd","Ventura","CA","805-705-4757","Brewery"
"Track 7 Brewing","3747 West Pacific Ave","Sacramento","CA","(916) 520-4677","Brewery"
"Trade Winds Tavern","7767 Balboa Ave","San Diego","CA","(858) 430-6815","Brewery"
"Transplants Brewing Company","40242 La Quinta Lane Unit 101","Palmdale","CA","661-266-7911","Brewery"
"Triple Voodoo Brewery and Tap Room","2245 3rd Street","San Francisco","CA","(415) 598-8811","Brewery"
"Trumer Brauerei Berkeley","1404 Fourth Street","Berkeley","CA","(510) 526-1160","Brewery"
"Two Rivers Cider","4311 Attawa Avenue","Sacramento","CA","(916) 456-1614","Brewery"
"Uncommon Brewers","303 Potrero St, Suite 40-H","Santa Cruz","CA","(831) 621-6270","Brewery"
"Under the Rose Brewing Co","559 E 4th St","Reno","CA","(775) 657-6619","Brewery"
"Valley Center Brewery","28960 Lilac Rd Ste C","Valley Center","CA","(760) 9130-0102","Brewery"
"Westlake Brewing and Libation","31111 Via Colinas #200","Westlake Village","CA","747.222.7231","Brewery"
"White Labs, Inc.","9495 Candida Street","San Diego","CA","(858) 693-3441","Brewery"
"Wiens Brewing","27941 Diaz Rd","Temecula","CA","","Brewery"
"Wildcard Brewing Co","9565 Crossroads Drive","Redding","CA","(530) 722-9239","Brewery"
"Wolf Creek Brewery - Valencia","25108 Rye Canyon Loop","Valencia","CA","(661) 294-9977","Brewery"
"Woody's Brewing Company","1257 Oregon St","Redding","CA","(530) 768-1034","Brewery"
"Working Man Brewing Company","5542 Brisa Street, Suite F","Livermore","CA","(925) 269-9622","Brewery"
"Yolo Brewing Company","1520 Terminal Street","West Sacramento","CA","916.379.75","Brewery"
